year,url,vol,appear,url-pages,cases
1927,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326743,44,name only,,
1927,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326751,45,name only,,
1927,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132676z,46,name only,,
1927,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132679t,49,name only,,
1927,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326808,50,name only,,
1927/28,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326816,51,name only,,
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326824,52,name only,,
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326832,53,Y,211-221,A7925
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132685y,55,name only,,
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132686w,56,name only,,
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132687u,57,name only,,
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132688s,58,Kraft-Phenix,,A8185
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132689q,59,Kraft-Phenix,,A8264
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326905,60,name only,,
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326913,61,Kraft-Phenix,,A8324
1928/29,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326921,62,name only,,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132694x,64,name only,,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132695v,65,name only,,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132698p,68,name only,,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132699n,69,Y;Kraft-Phenix,79-84;406-415,A8716;A8753
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132700s,70,name only,,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132701q,71,name only,,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132702o,72,name only,,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132704k,74,Kraft-Phenix,219-238,A8980
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132706g,76,name only,,
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132708c,78,name only,,
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132709a,79,name only,,
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132710p,80,name only,,
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132711n,81,name only,,
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132712l,82,name only,,
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132713j,83,name only,,
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132714h,84,name only,,
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132716d,86,name only,,
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132717b,87,name only,,
